Source,Target
10641,14120
10641,8004
10641,13781
10641,13960
10641,14775
10641,13854
10641,11526
10641,13558
10641,15766
10641,18575
10641,20302
10641,11432
10641,303
10641,9438
10641,17371
6222,2147
6222,12389
6222,2173
6222,6396
6222,6701
6222,12336
6222,5806
6222,4454
6222,10682
6222,7043
6222,9254
6222,8022
6222,9250
6222,9773
6222,2023
15438,7737
15438,10272
15438,19207
15438,6791
15438,3403
15438,4198
15438,10278
15438,10290
15438,3815
15438,10276
15438,1826
15438,221
15438,19782
15438,6827
15438,3352
9132,11676
9132,10829
9132,4290
9132,2915
9132,14501
9132,951
9132,3310
9132,12882
9132,3876
9132,11384
9132,1710
9132,10056
9132,10289
9132,4772
9132,7739
11391,7912
11391,5985
11391,2917
11391,19327
11391,17228
11391,11273
11391,7900
11391,6200
11391,10204
11391,5882
11391,2918
11391,8693
11391,2147
11391,12336
11391,7114
3995,12255
3995,870
3995,2101
3995,1398
3995,7959
3995,4290
3995,172
3995,1770
3995,8480
3995,6051
3995,5731
3995,10684
3995,1246
3995,147
3995,17054
20183,1767
20183,1764
20183,1819
20183,1878
20183,1791
20183,2012
20183,1766
20183,1853
20183,1857
20183,1855
20183,1874
20183,2022
20183,1869
20183,1786
20183,2013
4966,19778
4966,11839
4966,2239
4966,11451
4966,122
4966,11707
4966,10584
4966,6996
4966,6880
4966,4919
4966,10618
4966,11713
4966,7932
4966,11460
4966,11594
19009,15589
19009,12495
19009,12818
19009,360
19009,8853
19009,17425
19009,1353
19009,13810
19009,9339
19009,14012
19009,1655
19009,16288
19009,14462
19009,15151
19009,16528
1869,2022
1869,1855
1869,2012
1869,1857
1869,1878
1869,1874
1869,1791
1869,2034
1869,2013
1869,20174
1869,2006
1869,1819
1869,1786
1869,1767
1869,1764
8583,10693
8583,2299
8583,13067
8583,8951
8583,11527
8583,7489
8583,229
8583,10519
8583,10370
8583,10608
8583,6267
8583,14763
8583,6602
8583,1559
8583,10539
16159,16148
16159,16136
16159,16152
16159,16158
16159,16142
16159,16157
16159,12184
16159,16140
16159,16156
16159,16161
16159,248
16159,1757
16159,17324
16159,222
16159,5494
14591,14522
14591,4563
14591,3418
14591,18649
14591,9617
14591,249
14591,13416
14591,19241
14591,9012
14591,6806
14591,3059
14591,4315
14591,9046
14591,17590
14591,1979
10630,1162
10630,4827
10630,12281
10630,11163
10630,4885
10630,10692
10630,2756
10630,11082
10630,10667
10630,4877
10630,4534
10630,4819
10630,7053
10630,9591
10630,8270
15658,13707
15658,5855
15658,10043
15658,10797
15658,15571
15658,17860
15658,5076
15658,14855
15658,19484
15658,9547
15658,10157
15658,14961
15658,19152
15658,9090
15658,13820
5552,6937
5552,3165
5552,6938
5552,6952
5552,6104
5552,6940
5552,6046
5552,6106
5552,6943
5552,6941
5552,5449
5552,6947
5552,6955
5552,3162
5552,5633
7701,3773
7701,3975
7701,3778
7701,3967
7701,3203
7701,3977
7701,6728
7701,3771
7701,3965
7701,2920
7701,11258
7701,706
7701,16874
7701,11386
7701,2919
11209,5764
11209,1290
11209,9177
11209,1243
11209,870
11209,11292
11209,14097
11209,853
11209,1361
11209,5404
11209,11168
11209,823
11209,2916
11209,11231
11209,1082
5385,5243
5385,4504
5385,5476
5385,4500
5385,4512
5385,1672
5385,9544
5385,1679
5385,4526
5385,4552
5385,4539
5385,2382
5385,5384
5385,1688
5385,2482
2007,2607
2007,7375
2007,12151
2007,7180
2007,5793
2007,4225
2007,8656
2007,6174
2007,455
2007,4931
2007,6287
2007,971
2007,4123
2007,10740
2007,2127
9945,12144
9945,14767
9945,5967
9945,174
9945,4856
9945,6452
9945,4483
9945,10402
9945,825
9945,11003
9945,6726
9945,5414
9945,16175
9945,16102
9945,18509
12473,6726
12473,5371
12473,651
12473,1485
12473,8150
12473,7852
12473,8041
12473,11402
12473,616
12473,17549
12473,9679
12473,1184
12473,14379
12473,11398
12473,6200
19377,13690
19377,14043
19377,8336
19377,17023
19377,5878
19377,13484
19377,8660
19377,8693
19377,2515
19377,10042
19377,13083
19377,13342
19377,10764
19377,17436
19377,13689
5209,3783
5209,2495
5209,7182
5209,14296
5209,3222
