ID,Label,Favorites
365,!!!,4
5786,"""Blue"" Gene Tyranny",3
12144,"""V""",0
8993,#254 - The Arcade Fire Answers Your Questions,0
16717,#CCmixtape,1
19137,$50 Trumpet,1
15215,'Etikit,2
6469,'Gene Green,0
9816,((( vlubä ))),4
18887,(-),0
15902,(a is to b),3
16155,(c)(P)ee,0
10517,(D)(B)(H),1
14762,(dj) morsanek,0
16673,(F.E.V.E.R.),0
16860,(morse),4
2848,(none given),0
12507,(none given),0
14643,(none given),0
16333,(none given),0
18827,(none given),0
18828,(none given),0
13525,+,3
16094,"+CNCTD, Yellow Crystal Star",0
13605,+DOG+,0
15240,+HIRS+,3
13538,-,7
6611,-1348-,2
13625,-ono-,1
15752,-soundso-,0
17886,.357 Lover,1
8263,.at/on,1
14023,.crk,6
14481,.message,0
7414,.RR,10
10232,/,0
8711,/'angstalt/,0
11925,///'HORSE MACGYVER\\\,0
5957,003Labs,0
9250,00Genesis,0
13647,02_Elements,0
16912,03_Elements,0
14229,04_Elements,0
13648,05_Elements,1
14838,06_Elements,0
14230,07_Elements,0
14231,08_Elements,0
14841,09_Elements,0
15603,1,0
7487,1 Riche Kannibal,4
2620,"1,2,3,4",1
14462,1-800-Band,3
14226,1-PARAL-LEL,0
6929,1-Speed Bike,14
19877,1. My brother Daniel,0
9708,1.1111,0
17102,1.2.3.,0
4229,1.6 Band,1
11614,1/2 byZERO & Nik RUbanov,0
16479,1/2 Kaputt Kurzwellen,0
2999,10,3
15629,10-PARAL-LEL,0
18976,100% BLACK,0
21048,100% Chevalier,0
21049,100%chevalier,0
12389,1000 Names,0
7142,1000names,0
19560,101 Kaba Gaidi New York,0
4624,101 Player Feat. Sillypoo,0
9015,10Konekt,2
19755,10ksqft Werehaus,2
16410,11-PARAL-LEL,0
18412,11è étage,1
17075,11ème étage,1
16409,11_Elements,0
5672,12 bit murder,0
16411,12-PARAL-LEL,0
9521,123SYF,0
16412,13-PARAL-LEL,0
10700,13adluck & uh-oh,0
18889,13b-PARAL-LEL,0
17776,14 Foot 1,0
17472,14-PARAL-LEL,0
7299,1400 POINTS DE SUTURE,4
6532,143,0
17473,15-PARAL-LEL,1
16244,16 Squares G,1
20220,16-PARAL-LEL,1
14055,18 Carat Affair,0
15743,1in10/Varia,2
19205,1N.C1.D3.N7,0
6973,1st Dude,0
15604,2,0
7325,2 cholitas,0
367,2 Foot Flame,3
4428,2 nite + 4eva Sermon,0
2183,2 Tall,0
10481,2 Ton Bug,2
18012,2 TOTEMS,3
16841,2 Wick To You,0
14227,2-PARAL-LEL,0
368,2/5 BZ,0
12767,20000 Punks,1
15214,20lb Sounds,1
5974,22tape,0
12723,23ID,1
6980,24 Hours,1
11022,27B,1
17525,2Kutup,0
17967,2Kutup & Floating Spirits,1
9341,2methylBulbe1ol,0
18302,2ndMOUSE,1
10467,2NRO8OT,5
6005,2pol,3
9085,2pol & Timbou & Clewe,0
15889,2SCD & Some Asian Females Bodybuilders,1
15608,3,0
4562,3 Bears Quartet feat. E.O.R.,0
14228,3-PARAL-LEL,0
11987,303db,0
13121,30[eks],1
2576,31 de Octubre,1
12150,320320320320,0
6503,37 Pink,0
13582,3D TV,0
18297,3dtorus,0
13267,3eese,0
4711,3Puen,3
3577,3Sacchetti,3
15941,3tronik,0
15616,4,0
6846,"4,000,000 Telephones",1
6793,"4,000,000 Telephones & Raymond Scott",0
14836,4-PARAL-LEL,0
1691,400 Blows,0
7092,48/4,0
7134,4di,3
11121,4mat,12
2396,5$man,0
7810,5-40 am,0
14837,5-PARAL-LEL,0
2345,50 Foot Wave,12
19626,505,4
1919,50FOOTWAVE,9
8482,51%,5
555,555,0
371,5678's,0
7243,5unday5essions,0
8506,6 or 7,4
14839,6-PARAL-LEL,0
2887,60 Tigres,2
9811,6majik9,11
3089,6th Sense,14
3094,6th Sense &amp; Mick Boogie,2
3129,6th Sense + Mick Boogie,1
18599,7 i i,0
7554,7 sexes à l église,0
14840,7-PARAL-LEL,0
19409,75 Dollar Bill,1
18064,7b-PARAL-LEL,0
7555,7sexes à l église,0
17581,7U? (Channeling Wesley Willis,0
17582,7U? (Channeling Wesley Willis),0
1774,8 Bit Weapon,6
6998,8 Eye Spy,1
10357,8-Bit Ninjas,4
15627,8-PARAL-LEL,1
7357,8bit Betty,13
9260,8Bitch,0
4598,8GB,4
12547,8in8,0
3253,8m2stereo,0
3763,8m2stereo,0
15628,9-PARAL-LEL,0
14692,900piesek,0
17101,99 cents,1
3883,99 Tales,0
364,999,0
17111,99cents,0
3981,9th Scientist,1
8550,:dehumanizer:,1
17090,?+1,0
7331,???,1
14196,?alos,2
13937,A Banda de Joseph Tourton,2
18468,A C Slate no r,0
3842,A Camp,3
19406,A Crooked Pulse,4
3692,A delicate balance,0
16695,A Demon Sheen,0
10630,A Far Cry,0
10998,A Faulty Chromosome,0
6490,A Foggy Realm,0
15630,A Friendly Grey,0
5757,A Hawk and a Hacksaw,14
18923,a k u a,0
2243,A Kombi,1
8834,A Lifetime Of Trials,0
15210,A Magnifique Bande dos Homes sen Medo,10
10215,A Million Years Ago,0
20654,A Minha Embala (Aline Frazão e César Herranz),1
20521,A Ninja Slob Drew Me,1
17707,A Paranoid Android,2
1135,A Place to Bury Strangers,5
13066,A Quiet Monday,0
9840,A Sistem Rijek?!,0
5457,A Smile for Timbuctu,14
20369,A Sound Embrace,1
20101,A Souvenir,0
7876,A Sunny Day in Glasgow,6
17989,A Thousand Years,0
11104,A Very Clever Robot,2
12714,A Victim Of Society,0
9172,A Way,0
8162,A Weather,0
14842,A Xperisougs,0
18303,A()d,0
15004,A-1 Mr. Son,0
11217,A-Rec,0
3402,A-Scholars Band,0
20875,A. G. Kush,0
15380,A. Jones/OBF,0
2554,A. Kevorkian,0
13452,A. P. Vague,5
5592,A.C. Newman,1
19805,A.Grossman T.Ewell B.Grainger,0
19929,A.H. Fork,1
19777,A.J.,0
19578,A.K Perkins,0
9513,A.L.I.C.E,3
7962,A.M,1
13733,A.M.,0
18861,a.m. wiles,0
11050,A.M.U,0
15431,A.M/Uton,3
5180,A1,0
17394,A3ek,1
19667,a505,0
14730,AAAHHHRCHESTRA,0
15035,aaahhhrchestra,0
8320,aAirial,0
10392,Aalfang mit Pferdekopf,0
9171,Aan,5
19138,Aardvark vs Some Some Unicorn,1
15910,Aaron Bathurst,0
15123,Aaron DeVries,0
9604,Aaron DeVries (feat. Ben DeVries),1
2923,Aaron Dunn,8
20273,Aaron Mist,16
4810,Aaron Moore,3
13351,Aaron Moore & Carter Thornton,1
15533,Aaron Rosenblum,2
3425,Aaron Siegel,13
3850,Aaron Ximm,7
20834,aaron yabrov,0
17062,Aatxe,1
10291,Abacinate,0
17305,Abandone,0
5587,abbruciati faella,0
5319,abbruciati gordiani kostur,0
15349,Abby and Chris,0
5422,Abby Lee Tee,1
1830,ABC Radio National,0
15612,abc10,0
13028,abc100,5
3683,Abdoulaye Alhassane Touré,10
9300,Abdul Karim Khan,0
11433,Abe Sada,1
11436,Abe Sada & ^,0
11435,"Abe Sada, ^",0
18304,Abereiddy Astronomical Society,0
20485,Abinadi Meza,0
52,Abominog,0
6077,aboombong,14
15162,Abortifacient,0
14737,About,0
7024,ABQ,4
17351,Abraka Dub,3
16550,Abre Ojos,0
5887,Absent Me,0
18088,Absent Trio with Jme Guggino,0
8231,Absolute Monarchs,0
17993,ABSRDST,9
11963,Abstract Artimus,1
13807,Abstract Cannon,0
15724,Abstract Nostalgic Fractals Systems,1
3403,Absu,4
12357,Abtreibung feat. Grief No Absolution,0
2343,Abunai!,11
16107,Abusive/Consumer,0
15945,Access To Arasaka,0
4132,accidentally,0
20586,Ace & the Gulls,2
10975,Ache de noche,0
18798,Acherontia,0
15249,Aching Beauty,0
3411,Acid Birds,5
19556,Acid Eye,0
12488,Acid Police Noise Ensemble,0
14341,Acid Problem,0
16217,Acid Trash,0
7671,Acrassicauda,4
11532,Acre,0
18033,Acreil,5
17740,Acrid Fluff,1
9379,Act,1
13533,Action Davis,16
19279,Action Will Be Taken,2
10089,Active Child,1
16112,Activity Universal Associates,0
5426,Actual Birds,1
12586,Actual Russian Brides,0
1673,Ada Jones,1
1667,Ada Jones and Billy Murray,1
20644,Ada Jones and Billy Watkins,0
5354,Ada Jones and Len Spencer,0
20844,Ada Jones and Walter Van Brunt,0
12079,Ada Rave Cuarteto,4
6384,Adachi Tomomi/Alessandro Bossetti,0
9529,Adam & Alma,6
13067,Adam Bohman and Adrian Northover,0
16686,Adam Cadell,1
1920,Adam Gnade,0
10743,Adam Haworth Stephens,0
7983,Adam Kroll,0
17951,Adam Link,0
3533,Adam Pultz Melbye,0
20132,Adam Selzer,40
7088,Adam Trainer,0
9952,adamned.age,2
9778,Adapt,4
6054,adcBicycle,2
6053,adcBicycleadcBicycle,1
12889,Addicted White Guy,0
5453,Addiquit,3
4954,Adele Rowland,1
5483,Adeline Francis,0
6191,Adelit@s,1
15992,Aden Ôhm,3
385,Adept,0
15602,adfasfasf,0
